Assignee_Name,AC
"24M Technologies, Inc.","24M Technologies, Inc."
3Dbatteries Ltd,3Dbatteries Ltd
3DBATTERIES LTD.,3Dbatteries Ltd
3DOM INC,3Dom Inc
3DOM INC.,3Dom Inc
3M Innovative Properties Company,3M Innovative Properties Co.
6K Inc.,6K Inc.
A123 Systems,"A123 Systems, Inc."
A123 Systems LLC,"A123 Systems, Inc."
"A123 Systems, Inc.","A123 Systems, Inc."
"A123 Systems, LLC","A123 Systems, Inc."
"A123SYSTEMS, INC.","A123 Systems, Inc."
AAC Acoustic Technologies (Shenzhen) Co. Ltd.,Aac Acoustic Technologies (Shenzhen) Co. Ltd.
"AAC Acoustic Technologies (Shenzhen) Co., Ltd.",Aac Acoustic Technologies (Shenzhen) Co. Ltd.
Aalborg Universitet,Aalborg Universitet
ABSL Power Solutions Ltd,Absl Power Solutions Ltd
Acal Energy Limited,Acal Energy Ltd
Accentus PLC,Accentus Plc
ACEP Inc,Acep Inc.
ACEP Inc.,Acep Inc.
"ACEP, Inc.",Acep Inc.
ACREO SWEDISH ICT AB,Acreo Swedish Ict Ab
ACTA S.P.A.,Acta S.P.A.
Acumentrics Corporation,Acumentrics Corp.
"ADA Technologies, Inc.","Ada Technologies, Inc."
"Adavolt, Inc.","Adavolt, Inc."
Advanced Electronics Energy Limited,Advanced Electronics Energy Ltd
Advanced Energy Technology Inc,Advanced Energy Technology Inc.
Advanced Energy Technology Inc.,Advanced Energy Technology Inc.
"Advanced Modular Power Systems, Inc.","Advanced Modular Power Systems, Inc."
"Advanced Polymer Research, Inc.","Advanced Polymer Research, Inc."
"Adven Polymers, Inc.","Adven Polymers, Inc."
Advent Technologies,Advent Technologies
Advent Technologies Inc.,Advent Technologies
Advent Technologies SA,Advent Technologies
AEA Technology plc,Aea Technology Plc
AEG Energietechnik GmbH,Aeg Energietechnik Gmbh
AF Sammer Corporation,Af Sammer Corp.
AGC Inc.,Agc Inc.
"AGC SEIMI CHEMICAL CO., LTD","Agc Seimi Chemical Co., Ltd."
"AGC SEIMI CHEMICAL CO., LTD.","Agc Seimi Chemical Co., Ltd."
Agence Nationale de Valorisation de la Recherche (ANVAR),Agence Nationale De Valorisation De La Recherche (Anvar)
Agencia Estalal Consejo Superior De Investigaciones Cientifcas,Agencia Estatal Consejo Superior De Investigaciones Científicas
AGENCIA ESTALAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,Agencia Estatal Consejo Superior De Investigaciones Científicas
Agency For Defense Development,Agency For Defense Development
"Agency for Science, Technology and Research","Agency For Science, Technology And Research"
Agency of Industrial Science & Technology,Agency Of Industrial Science And Technology
"Agency of Industrial Science & Technology, Ministry of International",Agency Of Industrial Science And Technology
Agency of Industrial Science and Technology,Agency Of Industrial Science And Technology
"Air Products and Chemicals, Inc.","Air Products And Chemicals, Inc."
Airbus Defence and Space GmbH,Airbus Defence And Space Gmbh
Airbus Operations GmbH,Airbus Operations Gmbh
"Aisin AW Co., Ltd.","Aisin Aw Co., Ltd."
"Aisin Seiki Co., Ltd.","Aisin Seiki Co., Ltd."
Aisin Seiki Kabushiki Kaisha,"Aisin Seiki Co., Ltd."
"Aisin Takaoka Co., Ltd.","Aisin Takaoka Co., Ltd."
Aix-Marseille Université,Aix-Marseille Université
Akita University,Akita University
Akshaya Padhi,Akshaya Padhi
AKTIENGESELLSCHAFT,Aktiengesellschaft Ag
Albemarle Germany GmbH,Albemarle Germany Gmbh
Alberta Innovates—Technology Futures,Alberta Innovates-Technology Futures
ALBERTA RESEARCH COUNCIL INC.,Alberta Innovates-Technology Futures
Alcan Technology and Management Ltd,Alcan Technology And Management Ltd
Alcatel,Alcatel
