AC
"1 & 8, Inc."
"21, Inc."
"8×8, Inc."
10&8
"308, LLC"
"5.11, Inc."
"1020, Inc."
1316 LLC
1900 LLC
4114
5794 Corp
84.51 LLC
417 & 7/8 LLC
"4Sep18, LLC"
"May 11, LLC"
"June20, Inc."
061428 Corp.
232335
03312004 LLC
"785291314, Inc."
"01dB-METRAVIB, Societe par Actions Simplifiee"
"01dB-METRAVIB, Societe par Actions Simplifiee"
01Wiring S.R.L.
02Micro Inc.
"Tianma Micro-Electronics Co., Ltd."
059312 N.B. Inc.
"060Bio, LLC"
0649072 BC Ltd.
06Ab Limited
0798465 B.C. Ltd.
0798555 B.C. Ltd.
0901601 B.C. Ltd.
0903608 B.C. Ltd.
0912139 B.C. Ltd.
0926084 B.C. Ltd.
0934781 B.C. Ltd
0959690 B.C. Ltd.
0971065 B.C. Ltd.
10029629 Canada Inc.
1004335 Ontario Inc.
100 Milligrams Holding AB
100 Percent IT Ltd
"100% Speedlab, LLC"
1010210 B.C. Ltd.
10103560 Canada Ltd.
101288550 Saskatchewan Ltd.
101288550 Saskatchewan Ltd.
10148849 Canada Inc.
1026844 B.C. Ltd.
1039578 B.C. Ltd
1045929 Ontario Limited
1046959 Ontario Inc.
1069416 Alberta Ltd.
"106 Labs, LLC"
1070715 B.C. Unlimited Liability Company
1073849 Ontario Limited
1078955 Bc Ltd.
"1087 Systems, Inc."
10 I Cube S.R.L.
10-Vins
"10X Genomics, Inc."
10X Technology LLC
1109 Bravo LLC
11114140 Canada Inc.
1119456 B.C. Ltd.
1128653 Ontario Ltd.
1137508 On Ltd.
1158988 BC Ltd.
1175856 Ontario Ltd.
11 Health & Technologies Limited
1&1 Internet SE
"11 Pine, Inc."
1215089 Alberta Ltd.
121cast Pty Ltd
1234 10th Street LLC
1238585 Alberta Ltd.
123-Engineering & Innovation GmbH
123LASH Pte LIMITED
1257 122 Alberta Ltd.
1262214 B.C. Unlimited Liability Company
1281329 Alberta Ltd.
"128 Combustion, Inc."
"128 Technology, Inc."
12Cm Global Pte. Ltd.
"12 Inch Art, LLC"
"12Moments Co., Ltd"
"12Moments Co., Ltd"
12 Sigma Technologies
"12th Man Technologies, Inc."
1304338 Alberta Ltd.
1304342 Alberta Ltd.
1311854 Ontario Limited
1317442 Alberta Ltd.
1323079 Alberta Ltd.
"1366 Technologies, Inc."
"136 Holdings, LLC"
13876 Yukon Inc.
138 East LCD Advancements Limited
"13° Oblique, Societe Ou Association Sans Personalite Juridique"
The 13Th Research Institute Of China Electronics Technology Group Corp
The 13Th Research Institute Of China Electronics Technology Group Corp
The 13Th Research Institute Of China Electronics Technology Group Corp
"140Energy, Inc."
1434529 Alberta Ltd.
1440072 Alberta Ltd.
1440814 Ontario Inc.
1464684 Alberta Ltd.
"1,4 Group, Inc."
The 14th Research Institute of China Electronic Technology Group Corp
14Th Round Inc.
1/4 Vin
1501367 Alberta Ltd.
"1514 Tech, LLC"
"1540 Innovatus, LLC"
1564330 Ontario Inc.
1589549 Alberta Ltd.
"15 Seconds of Fame, Inc."
1612017 Alberta Ltd.
161508 Canada Inc.
1675119 Ontario Inc.
1682796 Ontario Inc.
"168 Productions, LLC"
16Lab Inc
1708828 Ontario Limited
1720618 Ontario Inc.
1729655 Alberta Ltd.
1773915 Alberta Ltd.
"1776 Media Network, Inc."
"17 Design & Manufacturing, LLC"
"1-800 Contacts, Inc."
"180s, Inc."
180 Therapeutics LP
1824930 Alberta Ltd.
1842728 Ontario Inc
1845067 Alberta Ltd.
1861244 Ontario Inc
1863815 Ontario Limited
1875452 Alberta Ltd.
1888711 Alberta Inc.
1904296 Alberta Ltd.
1908554 Alberta Ltd.
"1908 Br&s, Inc."
1914415 Alberta Ltd.
1925Workbench Ltd.
1929803 Ontario Corp.
1930106 Ontario Limited
1930109 Ontario Inc.
1934612 Ontario Inc.
1943596 Alberta Ltd.
1947796 Ontario Inc.
1949467 Ontario Inc.
"1964 Ears, LLC"
"1974 Productions, Inc."
1994 Weyer Family Limited Partnership
1997 Irrevocable Trust for Gregory P. Benson
1997 Irrevocable Trust for Gregory P. Benson
19Labs Inc.
19th Hole Cart LLC
19th Space Electronics
"#1 A LifeSafer, Inc."
"1A Smart Start, LLC"
1C LLC
1/ Centre National D'Etudes Spatiales
1CryoBio AG
1C Targets As
"1 Diamond, LLC"
1E Limited
"1 Energy Solutions, Inc."
"1Globe Biomedical Co., Ltd."
"1Globe Biomedical Co., Ltd."
1Globe Health Institute LLC
"1LSS, Inc."
1M2 Design Limited
1-Material Inc
"1 Micro, LLC"
1More Inc.
"1Nteger, LLC"
1Nv3Nt LLC
IOR Canada Ltd.
"1PerfectID, Inc."
"Q, LLC"
1Qb Information Technologies Inc.
1Qb Information Technologies Inc.
1 Space Pty Ltd
1Spatial Group Limited
"1ST Biotherapeutics, Inc."
1st Detect Corp
"1Touch Holdings, Inc"
"1twoZ, LLC"
"1Up Usa.Com, LLC"
"2020 Armor, Inc."
"20/20 Cte, LLC"
"20/20 Custom Molded Plastics, LLC"
2020 GeneSystems Inc.
"20/20 Ip, LLC"
2020 Power Generation Limited
"20/20 Vision Center, LLC"
2028631 Ontario Inc.
2033668 Alberta Ltd
2040422 Ontario Inc.
2054351 Alberta Ltd
2059492 Alberta Ltd.
"206 ORTHO, Inc."
2072677 Alberta Ltd.
2078095 Ontario Limited
20 Emma 20 S.L.
2116966 Ontario Inc.
"212 Water Services, LLC"
2134761 Ontario Ltd.
2141632 Ontario Inc.
2145677 Alberta Ltd.
214 Technologies Inc.
2162256 Alberta Ltd.
2168587 Ontario Ltd.
2178450 Ontario Inc.
21C Bio
"21CT, Inc."
"21St Century Animal Healthcare, Inc."
"21st Century Products, Inc."
2204217 Ontario Inc.
2214099 Ontario Limited
2236008 Ontario Inc.
"224 Performance, LLC"
2266170 Ontario Inc.
2292055 Ontario Inc.
2294719 Ontario Limited
"23&Me, Inc."
22 Evolutiion LLC
22 Evolutiion LLC
"22nd Century Limited, LLC"
"22nd Century Limited, LLC"
"22nd Solutions, LLC"
2330-2029 Québec Inc
2331535 Ontario Ltd
2236008 Ontario Inc.
2336063 Ontario Inc.
2345422 Ontario Inc.
2351161 Ontario Limited
2362738 Ontario Inc.
2373945 Ontario Inc.
2397593 Ontario Inc.
"23&Me, Inc."
240 Tech LLC
2442033 Ontario Inc.
2449049 Ontario Inc.
2468336 Ontario Inc.
"[24]7.ai, Inc."
"24/7 Customer, Inc."
24-7 International LLC
247Korea
247Meeting (Irel&) Limited
"24/7 Pizza Box, LLC"
247Solar Inc.
2481679 Ontario Inc.
2492454 Ontario Limited
2498890 Ontario Inc.
24Hournames.Com Nv
"24M Technologies, Inc."
2516139 Ontario Inc.
"2525 Group, Inc."
2546805 Ontario Inc.
2575168 Ontario Inc.
2579099 Ontario Inc.
2581776 Ontario Inc.
2603701 Ontario Inc.
2677126 Ontario Inc.
270 Surgical Ltd.
270 Vision Ltd.
2724889 Ontario Inc.
2726971 Ontario Inc.
2738297 Ontario Inc.
"[24]7.ai, Inc."
286 Two LLC
28 Engineering LLC
The 28Th Research Institute Of China Electronic Technology Group Corp
298679 Ontario Inc.
29 Ps Pty Ltd.
"2A Armament, LLC"
2Alfa Hydrotech AB
"2B, LLC (2B)"
"2BC Innovations, LLC"
2-B Energy Holding B.V.
"2BEONE SOLUTIONS CO., Ltd."
"2BEONE SOLUTIONS CO., Ltd."
"2BR Creations, LLC"
2Breathe Technologies Ltd.
"2Case, LLC"
2C Enviro Inc.
"2Cimple, Inc."
2cureX ApS
2D3 Limited
2 Flg
2Gather Inc.
2 Getthere B.V.
2Go Products LLC
2G Robotics Inc.
2 Group LLC
2 H&s Insulation Inc.
2Innovate LLC
"2Ip Co., Ltd."
"2Ip Co., Ltd."
"2KDirect, LLC"
2Low Inc.
2M&arins Ltd.
2Mee Ltd
2M Engineering Limited
"2 Monkey Trading, LLC"
"2M-TEK, Inc."
2MT Mining Products Pty Ltd.
2NDNature Software Inc.
"2nd Skull, Inc."
"2Ndstoryplus, LLC"
"2Pai Semiconductor Co., Limited"
"2Pai Semiconductor Co., Limited"
2Pi-Sigma Corp
"2P & M Holdings, LLC"
"2Pointb, LLC."
2Sens Ltd.
2Sentient Inc.
"2S Innovations, Inc."
"2S Innovations, Inc."
"2T2J, Inc."
"2think, LLC"
2 Way Chaise LLC
2X Memory Technology Corp.
"2Y-Chem, Ltd."
310 Tempering
3225335 Nova Scotia Limited
323 Media Group
3277991 Nova Scotia Limited
3278470 Nova Scotia Limited
3305978 Nova Scotia Limited
351471 Alberta Ltd.
355323 B.C. Ltd.
356864 Alberta Ltd.
3-5 Power Electronics GmbH
3605329 Canada Inc.
360 Autoview LLC
"360° Ballistics, LLC"
"360Br&vision, Inc."
"360 Electrical, LLC"
"360Fly, Inc."
360 Knee Systems Pty Ltd.
360 Lab LLC.
360Mea Ltd
"360 Yield Center, LLC"
365id AB
"365 Retail Markets, LLC"
365 Technologies Holding Limited
"369 Tech Co., Ltd."
"369 Tech Co., Ltd."
3764729 Canada Inc.
381572 Ontario Limited
3849953 Canada Inc.
"38 Research Institute, China Electronics Technology Group Corp"
38th Research Institute Of China Electronics Technology Group Corp.
3975266 Canada Inc.
39Degrees C Inc.
"3Ac., Ltd."
"3A LOGICS Co., Ltd."
3Am Innovations LLC
3A Technology & Management Ltd.
"3Bar Biologics, Inc."
"3B Construction Solutions, Inc."
"3B Energy, LLC"
3B-Fibreglass sprl
3B-Fibreglass sprl
"3Bills, LLC"
3B Medical Inc.
3B Medical Manufacturing LLC
"3 Boys Enterprises, LLC"
3B Pharmaceuticals GmbH
"3B Technologies Ii, Inc."
"3B Technologies Ii, Inc."
"3CA Enterprises, Inc."
"3C Automation, Inc."
3-CI Partnership
3D4Mec Srl
"3DAM Technologies, LLC/3DAM Holdings, LLC"
"3D at Depth, Inc."
3DATX Corp
3DB Access AG
3Dbatteries Ltd
"3D-Biomaterials, LLC"
"3DBiopsy, Inc."
"3Dbotics, Inc."
"3-D Business Tools, LLC"
"3Dcalz, LLC"
"3D Clean Coal Emissions Stack, LLC"
3D Controls Inc.
3Degrees LLC
"3Deo, Inc."
"3Dfamily Technology Co., Ltd."
"3Dfamily Technology Co., Ltd."
"3DFortify, Inc."
3-D Frame Solutions LLC
"3D Glass Solutions, Inc."
3D Global Biotech Inc.
3Dhistech Kft.
3Di LLC
3D Image Automation Pty Ltd
3D Imaging Partners
"3D Innovations, LLC"
3Dintegrated Aps
3DIS Technologies
3ditize SL
"3D Labs Co., Ltd."
"3D Labs Co., Ltd."
"3Dlabs Inc., Ltd."
3D Laser Mapping Limited
3D Lighting Fx Inc.
3DLOOK Inc.
"3-D Matrix, Ltd."
"4-D Matrix, Ltd."
3DM Digital Manufacturing Ltd
3D Med Ag
3D Media Corp
3D-Micromac AG
"3Dn, LLC"
3Dom Inc
"3D Operations, Inc."
3D-Oxides
"3D Patents, LLC"
3DPhotoWorks LLC
3D Plus
3DP Modelling AS
3D Product Imaging Inc.
3DQR GmbH
3D-Radar As
"3D Radio, LLC"
3Drudder
3D Signals Ltd.
3D Signatures Inc.
3D Signatures Holdings Inc.
3D Slash
3D Stage Tracker Limited
"3D Systems, Inc."
"3D Systems Korea, Inc."
3D Tech LLC
"3DT Holdings, LLC"
"3DTL, Inc."
"3D Total Solutions, Inc."
3Dtro AB
3D Urologic LLC
3DV Co. Ltd.
"3E Co., Ltd."
"3-East, LLC"
"3E Co., Ltd."
3Eflow Ab
3E Therapeutics Corp
3Fish Limited
"3Flow, Inc."
"3Form, LLC"
"3G Bikes, LLC"
"3Gen, Inc."
3-Gis
3G Licensing S.A.
3Gren Oy
3GSolar Photovoltaics Ltd
"3I, Corp"
"3I Avi, LLC"
3 In 1 Dental Pllc
"3Ip Hangung Co., Ltd"
"3Ip Hangung Co., Ltd"
"3K Anesthesia Innovations, LLP"
"3MACJET Techonology Co., Ltd."
"3MACJET Techonology Co., Ltd."
"3MD, Inc."
3M Electronic Monitoring Ltd
3mensio Medical Imaging B.V.
3M Espe AG
3M Innovative Properties Company
3M Innovative Properties Company
3M Intellectual Property Company
"3 Net Wise, Inc."
3Nine Ab
3Nt Medical Ltd.
"3P Biopharmaceuticals, S.L."
"3P Biotechnologies, Inc."
3P Innovation Limited
"3Play Media, Inc."
"3Po Boat Accessories, LLC"
3P Sense Limited
3P Technik Filtersysteme GmbH
3P Technology Corp.
3Rb LLC
3Rd Br& Pte. Ltd.
3Rd Light Limited
